name,industry,market_value,ROE_avg,asset_liability_avg,shareholder_capacity,management_capacity,topsis_score,topsis_score_percentage,rank
格尔软件,软件开发,31.66,6.69,20.49,5.8,7.8,48.83,53.1,127
盛邦安全,软件开发,34.89,28.85,28.88,4.0,5.0,51.69,56.5,33
泽宇智能,软件开发,65.41,29.61,43.7,4.6,7.6,52.13,57.03,30
路桥信息,软件开发,5.36,18.14,62.28,7.6,6.2,49.4,53.77,105
同辉信息,软件开发,5.66,6.48,44.45,4.6,5.0,47.77,51.83,157
中科海讯,软件开发,23.72,7.89,11.55,4.6,6.4,48.96,53.25,122
北信源,软件开发,71.19,-5.56,27.46,5.2,6.6,47.04,50.96,163
英飞拓,软件开发,91.22,-19.96,52.0,1.8,5.2,43.82,47.12,173
国新健康,软件开发,106.96,-13.3,20.92,4.6,8.2,46.36,50.15,165
中控技术,软件开发,436.66,20.68,59.48,7.0,11.0,56.74,62.52,9
永信至诚,软件开发,49.31,7.7,27.33,5.8,6.6,49.0,53.29,120
麒麟信安,软件开发,94.33,39.54,41.96,4.0,6.6,53.71,58.91,14
柏楚电子,软件开发,335.57,25.77,7.52,6.4,5.6,56.22,61.9,11
福昕软件,软件开发,90.37,10.41,16.86,5.8,6.6,50.17,54.69,76
金现代,软件开发,37.72,8.92,9.34,0.4,5.8,49.21,53.54,112
迪普科技,软件开发,106.04,14.5,17.91,4.6,11.0,51.29,56.02,41
纬德信息,软件开发,18.33,35.59,17.37,4.6,6.8,52.64,57.64,28
*ST左江,软件开发,287.33,11.25,14.24,5.8,6.4,53.28,58.39,16
中科通达,软件开发,16.06,7.24,46.11,5.2,6.0,48.08,52.2,151
万兴科技,软件开发,127.83,10.23,29.18,0.8,4.0,50.1,54.61,78
东方通,软件开发,111.25,8.9,20.51,8.8,5.0,50.1,54.61,80
科创信息,软件开发,30.67,6.85,36.01,5.2,8.8,48.6,52.82,136
科达自控,软件开发,8.66,11.43,32.39,5.2,6.6,48.95,53.24,123
网达软件,软件开发,37.22,4.35,12.91,5.8,6.8,48.61,52.83,135
安恒信息,软件开发,132.15,6.31,36.3,7.0,7.2,49.79,54.24,90
国源科技,软件开发,5.47,3.42,9.65,4.6,6.0,48.04,52.15,153
鼎捷软件,软件开发,75.21,7.38,37.19,5.8,6.4,49.08,53.39,117
延华智能,软件开发,28.27,-18.25,55.6,1.2,1.8,43.08,46.23,174
天源迪科,软件开发,47.7,3.5,41.64,5.8,8.4,48.15,52.28,148
广道数字,软件开发,9.07,14.97,12.96,4.0,3.6,49.61,54.02,95
远光软件,软件开发,128.78,10.14,13.02,6.4,11.0,51.09,55.79,46
山石网科,软件开发,37.27,8.11,28.0,2.4,8.2,48.93,53.22,124
广联达,软件开发,530.93,11.14,39.45,6.4,8.2,57.29,63.18,8
佳缘科技,软件开发,47.86,26.5,30.1,1.8,5.2,51.49,56.26,35
山大地纬,软件开发,56.76,9.0,24.38,5.8,9.0,49.54,53.94,100
