id,name,ROE_2022,ROE_2021,ROE_2020,ROE_2019,ROE_2018,asset_liability_2022,asset_liability_2021,asset_liability_2020,asset_liability_2019,asset_liability_2018
603282,亚光股份,34.13,26.09,30.01,29.97,17.07,72.5,69.7,67.27,68.09,70.90
872895,花溪科技,20.83,29.24,31.69,21.44,31.34,18.22,26.08,28.54,39.34,40.41
836717,瑞星股份,0.60,8.87,4.42,2.22,,17.94,18.54,17.0,18.85,
834014,特瑞斯,15.30,18.84,36.40,26.14,24.34,45.34,56.01,50.68,57.87,64.56
831856,浩淼科技,7.49,5.83,7.86,13.93,5.68,40.39,32.25,27.19,36.03,40.92
601606,长城军工,3.06,5.48,4.98,4.45,5.17,37.11,38.93,36.11,36.29,37.84
600501,航天晨光,3.42,3.08,2.08,1.70,-7.75,60.61,59.28,54.83,52.05,49.92
600499,科达制造,46.73,15.80,4.87,2.55,-11.56,36.97,50.41,50.38,59.18,59.05
301468,博盈特焊,17.59,28.21,38.84,38.87,52.81,24.41,37.63,50.5,53.41,62.29
2960,青鸟消防,14.42,15.97,14.81,18.40,26.51,25.6,34.52,28.55,23.27,31.91
2833,弘亚数控,19.20,26.69,22.35,23.83,25.42,30.05,32.98,19.81,26.31,19.74
688623,双元科技,28.96,32.65,34.76,23.19,,56.87,52.42,62.11,53.93,
1332,锡装股份,16.88,25.74,25.64,28.41,16.80,27.87,36.09,44.07,46.56,43.82
836942,恒立钻具,2.83,13.41,12.52,5.82,3.67,25.08,28.19,38.81,41.84,42.05
300512,中亚股份,5.93,8.99,3.13,7.99,13.45,36.39,32.0,30.34,26.79,33.37
300540,蜀道装备,-2.67,-14.25,1.71,1.43,0.26,33.67,54.66,51.05,39.92,46.99
838810,春光药装,34.87,39.00,3.35,2.10,1.56,35.03,59.51,62.46,54.44,52.04
834475,三友科技,14.22,9.03,16.14,20.11,18.15,41.62,35.78,27.16,38.32,46.41
688084,晶品特装,7.50,12.05,22.05,,,15.3,47.95,48.38,60.88,160.19
2757,南兴股份,12.23,13.61,14.14,12.23,12.75,37.8,34.81,27.77,22.96,15.13
2073,软控股份,4.37,3.28,2.24,1.82,-7.06,62.89,56.56,44.68,44.51,47.22
600184,光电股份,2.88,2.58,2.18,2.64,2.52,41.49,47.1,53.0,38.24,34.66
688420,美腾科技,30.59,29.77,54.03,138.80,80.00,19.5,51.21,51.81,71.69,85.43
601038,一拖股份,11.99,8.49,6.66,1.52,-27.91,49.97,51.52,59.69,58.86,64.57
605286,同力日升,1.06,9.37,7.22,3.44,1.55,36.22,36.62,40.98,36.29,22.81
301018,申菱环境,10.99,14.71,14.74,13.14,14.62,55.92,55.36,65.1,58.6,55.28
688518,联赢激光,16.14,6.25,5.78,8.59,11.35,68.55,62.14,43.23,45.15,52.20
2975,博杰股份,12.28,17.10,29.65,32.61,34.23,32.89,33.56,19.13,26.82,33.92
